Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,DOI,Journal,Affiliation,Is prize-winning paper,field,p-value,Gender,citation_count
10057,"perl, ml",1995,inclusive charged particle distribution in nearly threefold symmetric three jet events at ec m 29 gev,1985.0,1976948078.0,10.1103/PhysRevLett.55.1954,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,42.0
10057,"perl, ml",1995,search for the decay 4 3 0 ,1997.0,2314600077.0,10.1103/PhysRevD.72.012003,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
10057,"perl, ml",1995,search for the rare decayb 0 d 0,2005.0,2314614051.0,10.1103/PhysRevD.72.051106,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,1.0
10057,"perl, ml",1995,measurement ofds andds production inbmeson decays and from continuume e annihilation ats 10 6gev,2002.0,2782728418.0,10.1103/PhysRevD.65.091104,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,15.0
10057,"perl, ml",1995,branching fraction and cp violation charge asymmetry measurements for b meson decays to k   k   k and ,2007.0,2103535428.0,10.1103/PhysRevD.76.031103,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,15.0
10057,"perl, ml",1995,resonant structure of 30and decays,2000.0,2314628282.0,10.1103/PhysRevD.61.072003,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,66.0
10057,"perl, ml",1995,experimental tests of lepton universality in  decay,1997.0,1493144808.0,10.1103/PhysRevD.55.2559,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,28.0
10057,"perl, ml",1995,search for the charmed pentaquark candidate c 3100 0 in e e annihilations at s 10 58gev,2006.0,63229398.0,10.1103/PhysRevD.73.091101,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,12.0
10057,"perl, ml",1995,the effects of the material s exact yield point and its plastic properties on the safe maximum pressure of gun barrels,2017.0,2637248630.0,10.1115/1.4037121,journal of pressure vessel technology transactions of the asme,ben gurion university of the negev,NO,Physics,0.054140127388535,male,0.0
10057,"perl, ml",1995,evidence for the reaction pi sup p yields anti p d and some methods of investigating virtual nucleon exchange processes,1963.0,223318164.0,10.1103/PhysRev.132.1273,physical review,ben gurion university of the negev,NO,Physics,0.054140127388535,male,14.0
